"Pillow","7.1.2","HPND"
"UnleashClient","5.11.2",
"aiofiles","0.8.0","Apache-2.0"
"aiohttp","3.8.1","Apache 2"
"alembic","1.13.*",
"anyascii","0.3.2",
"backoff","1.11.1","MIT"
"bbox_visualizer","",
"cachetools","4.1.1","MIT"
"ddtrace","2.4.2","LICENSE.BSD3"
"deepdiff","",
"elasticsearch","8.4.3","Apache-2.0"
"fastapi","0.100.0",
"fasttext","0.9.2","MIT"
"fsspec","0.7.4","BSD"
"gcloud-aio-storage","",
"gcsfs","0.6.2","BSD"
"google-cloud-logging","2.3.1","Apache 2.0"
"google-cloud-pubsub","2.18.3","Apache 2.0"
"google-cloud-storage","1.37.1","Apache 2.0"
"gunicorn","20.1.0","MIT"
"httpx","",
"joblib","1.3.*",
"nlpaug","0.0.14","MIT"
"numpy","1.22.*",
"onnxruntime","1.16.0","MIT License"
"opencv-contrib-python","4.5.1.48","MIT"
"opencv-python","4.5.1.48","MIT"
"openpyxl","3.1.2","MIT"
"ordered-set","4.1.0",
"pandas","1.4.2","BSD-3-Clause"
"prometheus-client","0.11.*",
"prometheus-fastapi-instrumentator","5.9.1","ISC"
"psycopg2","2.9.*",
"pycountry","19.8.18","LGPL 2.1"
"pydantic-settings","2.0.*",
"python-multipart","0.0.5","Apache"
"rapidfuzz","3.0.0","MIT"
"redis","4.3.*",
"requests","2.27.1","Apache 2.0"
"rq","1.12.*",
"scikit-learn","1.3.*",
"scipy","1.10.*",
"sentry-sdk","",
"skl2onnx","1.15.*",
"smm","0.1.5","BSD 3-Clause License"
"sqlalchemy","2.0.*",
"tqdm","4.61.*",
"transformers","4.31.*",
"ujson","5.5.0",
"uvicorn","0.22.0",
"vectorhelpers-background-worker","0.5.*",
"vectorhelpers-datamodels","0.11.*",
"vectorhelpers-fast_prosumer","0.1.*",
"vectorhelpers-trie_ops","",
"xlrd","2.0.1","BSD"
